Epoch,Layer,Node,WeightType,WeightIndex,WeightValue
10,1,0,output,1,7.56427e-40
10,1,0,output,2,1.87657e-40
10,1,0,bias,0,-14.5888
10,1,1,input,0,0.737186
10,1,1,input,1,0.839166
10,1,1,input,2,1.0679
10,1,1,output,0,0.911153
10,1,1,output,1,0.762732
10,1,1,output,2,0.665282
10,1,1,bias,0,-0.545975
10,1,2,input,0,0.678916
10,1,2,input,1,0.459213
10,1,2,input,2,-7.05259
10,1,2,output,0,19.9294
10,1,2,output,1,0.993529
10,1,2,output,2,1.051
10,1,2,bias,0,23.4874
10,2,0,input,0,8.60233e-54
10,2,0,input,1,0.911153
10,2,0,input,2,19.9294
10,2,0,output,0,1.21853e-54
10,2,0,bias,0,-1958.68
10,2,1,input,0,7.56427e-40
10,2,1,input,1,0.762732
10,2,1,input,2,0.993529
10,2,1,output,0,1.80651e-14
10,2,1,bias,0,-68.6533
10,2,2,input,0,1.87657e-40
10,2,2,input,1,0.665282
10,2,2,input,2,1.051
10,2,2,output,0,5.74759e-13
10,2,2,bias,0,-69.5402
11,0,0,input,0,1
11,0,0,output,0,1.82035e-50
11,0,0,output,1,0.737186
11,0,0,output,2,0.678916
11,0,0,bias,0,-2.73771
11,0,1,input,0,-1
11,0,1,output,0,1.50099
11,0,1,output,1,0.839166
11,0,1,output,2,0.459213
11,0,1,bias,0,4.92048
11,0,2,input,0,-1
11,0,2,output,0,-1.70321
11,0,2,output,1,1.0679
11,0,2,output,2,-7.05259
11,0,2,bias,0,-1.70744
11,1,0,input,0,1.82035e-50
11,1,0,input,1,1.50099
11,1,0,input,2,-1.70321
11,1,0,output,0,8.99481e-60
11,1,0,output,1,3.14856e-45
11,1,0,output,2,5.88738e-46
11,1,0,bias,0,-14.5888
11,1,1,input,0,0.737186
11,1,1,input,1,0.839166
11,1,1,input,2,1.0679
11,1,1,output,0,0.911153
11,1,1,output,1,0.762732
11,1,1,output,2,0.665282
11,1,1,bias,0,-0.545975
11,1,2,input,0,0.678916
11,1,2,input,1,0.459213
11,1,2,input,2,-7.05259
11,1,2,output,0,19.9294
11,1,2,output,1,0.993529
11,1,2,output,2,1.051
11,1,2,bias,0,23.4874
11,2,0,input,0,8.99481e-60
11,2,0,input,1,0.911153
11,2,0,input,2,19.9294
11,2,0,output,0,2.59788e-60
11,2,0,bias,0,-1958.68
11,2,1,input,0,3.14856e-45
11,2,1,input,1,0.762732
11,2,1,input,2,0.993529
11,2,1,output,0,1.3194e-15
11,2,1,bias,0,-68.6533
11,2,2,input,0,5.88738e-46
11,2,2,input,1,0.665282
11,2,2,input,2,1.051
11,2,2,output,0,5.97242e-14
11,2,2,bias,0,-69.5402
12,0,0,input,0,1
12,0,0,output,0,4.30589e-56
12,0,0,output,1,0.737186
12,0,0,output,2,0.678916
12,0,0,bias,0,-2.73771
12,0,1,input,0,-1
12,0,1,output,0,1.50099
12,0,1,output,1,0.839166
12,0,1,output,2,0.459213
12,0,1,bias,0,4.92048
12,0,2,input,0,-1
12,0,2,output,0,-1.70321
12,0,2,output,1,1.0679
12,0,2,output,2,-7.05259
12,0,2,bias,0,-1.70744
12,1,0,input,0,4.30589e-56
12,1,0,input,1,1.50099
12,1,0,input,2,-1.70321
12,1,0,output,0,9.4052e-66
12,1,0,output,1,1.31056e-50
12,1,0,output,2,1.84705e-51
12,1,0,bias,0,-14.5888
12,1,1,input,0,0.737186
12,1,1,input,1,0.839166
12,1,1,input,2,1.0679
12,1,1,output,0,0.911153
12,1,1,output,1,0.762732
12,1,1,output,2,0.665282
12,1,1,bias,0,-0.545975
12,1,2,input,0,0.678916
12,1,2,input,1,0.459213
12,1,2,input,2,-7.05259
12,1,2,output,0,19.9294
12,1,2,output,1,0.993529
12,1,2,output,2,1.051
12,1,2,bias,0,23.4874
12,2,0,input,0,9.4052e-66
12,2,0,input,1,0.911153
12,2,0,input,2,19.9294
12,2,0,output,0,5.53861e-66
12,2,0,bias,0,-1958.68
12,2,1,input,0,1.31056e-50
12,2,1,input,1,0.762732
12,2,1,input,2,0.993529
12,2,1,output,0,9.63628e-17
12,2,1,bias,0,-68.6533
12,2,2,input,0,1.84705e-51
12,2,2,input,1,0.665282
12,2,2,input,2,1.051
12,2,2,output,0,6.20605e-15
12,2,2,bias,0,-69.5402
13,0,0,input,0,1
13,0,0,output,0,1.01852e-61
13,0,0,output,1,0.737186
13,0,0,output,2,0.678916
13,0,0,bias,0,-2.73771
13,0,1,input,0,-1
13,0,1,output,0,1.50099
13,0,1,output,1,0.839166
13,0,1,output,2,0.459213
13,0,1,bias,0,4.92048
13,0,2,input,0,-1
13,0,2,output,0,-1.70321
13,0,2,output,1,1.0679
13,0,2,output,2,-7.05259
13,0,2,bias,0,-1.70744
13,1,0,input,0,1.01852e-61
13,1,0,input,1,1.50099
13,1,0,input,2,-1.70321
13,1,0,output,0,9.83432e-72
13,1,0,output,1,5.45507e-56
13,1,0,output,2,5.79478e-57
13,1,0,bias,0,-14.5888
13,1,1,input,0,0.737186
13,1,1,input,1,0.839166
13,1,1,input,2,1.0679
13,1,1,output,0,0.911153
13,1,1,output,1,0.762732
13,1,1,output,2,0.665282
13,1,1,bias,0,-0.545975
13,1,2,input,0,0.678916
13,1,2,input,1,0.459213
13,1,2,input,2,-7.05259
13,1,2,output,0,19.9294
13,1,2,output,1,0.993529
13,1,2,output,2,1.051
13,1,2,bias,0,23.4874
13,2,0,input,0,9.83432e-72
13,2,0,input,1,0.911153
13,2,0,input,2,19.9294
13,2,0,output,0,1.18082e-71
13,2,0,bias,0,-1958.68
13,2,1,input,0,5.45507e-56
13,2,1,input,1,0.762732
13,2,1,input,2,0.993529
13,2,1,output,0,7.03791e-18
13,2,1,bias,0,-68.6533
13,2,2,input,0,5.79478e-57
13,2,2,input,1,0.665282
13,2,2,input,2,1.051
13,2,2,output,0,6.44882e-16
13,2,2,bias,0,-69.5402
14,0,0,input,0,1
14,0,0,output,0,2.40924e-67
14,0,0,output,1,0.737186
14,0,0,output,2,0.678916
14,0,0,bias,0,-2.73771
14,0,1,input,0,-1
14,0,1,output,0,1.50099
14,0,1,output,1,0.839166
14,0,1,output,2,0.459213
14,0,1,bias,0,4.92048
14,0,2,input,0,-1
14,0,2,output,0,-1.70321
14,0,2,output,1,1.0679
14,0,2,output,2,-7.05259
14,0,2,bias,0,-1.70744
14,1,0,input,0,2.40924e-67
14,1,0,input,1,1.50099
14,1,0,input,2,-1.70321
14,1,0,output,0,1.0283e-77
14,1,0,output,1,2.27062e-61
14,1,0,output,2,1.818e-62
14,1,0,bias,0,-14.5888
14,1,1,input,0,0.737186
